TranscriptCluster	Duke	UW
3773244	5.586592876	6.698030905
3380065	8.894970057	7.871307712
2986825	8.096608431	9.972017669
3773312	9.837319258	11.03756983
3380080	6.462233953	8.281067629
3773340	6.79879708	7.082212923
3380126	5.056238853	5.165626587
3380142	5.517650493	2.699291024
2986906	7.733247558	10.27030311
2593670	10.58917828	11.76969599
3380181	6.736902813	6.487905938
3773426	5.735427403	5.587794015
2986951	7.78532495	7.288819944
2593733	12.01307924	12.65306823
2986999	6.10664564	6.415588549
2593796	5.271040896	4.414717366
2987038	5.8728423	6.106403461
3773534	6.744357569	6.464758106
3773558	4.026526984	7.346974613
2593838	4.577400125	4.989151121
3380365	6.036581357	4.94262241
2987199	6.304124489	9.280247254
2987211	7.030394019	8.136001643
3773703	7.908860933	6.613546877
3773742	6.175333972	8.71381379
3773801	7.472248115	7.391538615
2594089	9.808436136	9.532221488
3773814	5.999645482	4.98144779
3380647	6.760719615	5.536481914
2987410	9.835542402	8.256825113
2987441	10.02892271	11.70793138
3773932	10.49769219	12.83785457
3380697	9.821516506	11.47442759
3773980	5.70636547	8.846864138
2987523	6.576040605	8.159264201
3380769	8.462145389	7.138561931
2987544	5.890247858	5.717288911
3774029	8.801836054	10.73100217
2594313	7.754683774	7.865712653
2987578	5.871836258	7.617014352
3774096	6.314303628	5.721143859
2987632	7.579070753	8.055399943
3380901	7.336522181	9.637197839
2594435	5.630152069	7.019909439
3774218	4.313811425	6.596427328
2594497	9.592641567	9.680142063
3380980	7.692247589	9.90254043
3380996	11.10315829	10.24062519
3774241	9.440559837	12.37111685
2594535	9.8417035	9.64801537
3381038	5.895981149	6.12028143
3774283	8.771161772	9.998219484
2594569	9.064659245	9.978835802
3381063	8.256421007	9.771111964
2987843	5.81421073	5.700423996
3774331	9.798588443	10.69398055
3774350	6.655553978	10.1205403
2594627	9.142446625	9.652396861
3774385	7.1458099	9.399585553
3381150	5.347337895	5.132406846
3774418	7.769090688	10.08605084
3774436	7.275181692	10.8281259
3774475	5.879203995	6.882854955
3381241	6.430097061	8.480358035
2594773	4.819880179	6.400660881
3774504	7.925139003	8.268019487
3774516	8.46696455	8.954932014
3774535	9.066504309	11.21541368
2594812	7.304605268	8.87692821
3381317	8.080078007	8.893716126
3774593	7.087995797	10.54465861
3381377	8.377043472	8.069660998
2594905	6.233588522	4.199483899
3774635	7.638875715	11.03126009
2594951	7.187040239	8.41593327
3774701	7.415302345	7.217744488
2594987	6.137766833	5.500901883
3774728	6.566191069	8.074826513
2595042	7.405324448	7.841971023
3381540	6.723789595	6.916038674
2988336	5.956899411	8.295455188
3774823	8.190129617	9.940477069
3381607	9.817791914	9.688628566
3774883	6.853526021	7.586146728
2988410	9.175474077	10.21836142
3774906	5.43243667	5.78443593
3381682	10.86454793	10.78403223
2988459	8.611590142	9.754402069
3381702	6.463686208	7.86744967
3774975	5.979876726	8.623683997
2595252	10.88715206	10.8760155
2988499	10.11902508	8.463796811
2988536	8.328608737	10.24709282
3775038	7.575161033	9.068835591
3381806	6.772147611	4.450799954
3381817	9.558317387	10.48627861
2988594	6.483729938	5.968393394
3381843	6.986541773	5.777049679
3775099	6.597661523	3.069918085
2595388	4.885651231	5.67477888
3381879	5.113842162	5.784628739
3775147	9.205215934	6.2582532
3775157	6.76371133	9.704061558
3381925	6.197006295	6.423071077
2595443	10.51772843	10.92357757
3381965	5.637494325	6.143799507
